Payment type,Date,Average trip cost,Average trip km cost
Dispute,2020-01-15,1.097990115321252,2.138204283360791
No charge,2020-01-15,7.630463038180343,2.1997075548334686
Cash,2020-01-14,11.846726562020345,2.6556132451957626
Credit card,2020-01-14,12.653584424551378,2.7819293060215404
Dispute,2020-01-14,1.3254528985507246,2.1472101449275347
No charge,2020-01-14,7.085163704396635,2.256585594013093
Cash,2020-01-13,12.165390473168607,2.787582992900481
Credit card,2020-01-13,13.1468445575819,2.949688406264069
Dispute,2020-01-13,1.6913628620102212,2.6215332197614982
No charge,2020-01-13,10.021225749559083,2.7358730158730147
Cash,2020-01-12,12.228717731605116,3.0007084391758543
Credit card,2020-01-12,13.160173598897845,3.163243419509895
Dispute,2020-01-12,0.9972296015180268,2.6988045540796963
No charge,2020-01-12,9.274244532803182,2.7147713717693835
Cash,2020-01-11,11.788414744705543,2.7188388453728023
Credit card,2020-01-11,12.42520161315722,2.800154384196051
Dispute,2020-01-11,0.6956764705882352,2.690911764705882
No charge,2020-01-11,6.824900362318842,2.1547826086956507
Cash,2020-01-10,12.040274838275437,2.693385558837834
Credit card,2020-01-10,12.811450538519258,2.8407534534516796
Dispute,2020-01-10,-0.1456825938566551,2.5041979522184277
No charge,2020-01-10,8.009021352313166,2.307660142348753
Cash,2020-01-09,11.95917497784733,2.6702132312739026
Credit card,2020-01-09,12.535088174183715,2.743184225299949
Dispute,2020-01-09,2.2123292469352016,2.415271453590191
No charge,2020-01-09,6.480814479638012,2.2621266968325795
Cash,2020-01-08,11.722164220003915,2.6774756312389707
Credit card,2020-01-08,12.155687955234505,2.7197223420551095
Dispute,2020-01-08,2.6036245353159857,2.728234200743498
No charge,2020-01-08,7.203728981206727,2.4912858555885258
Cash,2020-01-07,11.874254403131117,2.760112472963226
Credit card,2020-01-07,12.20268002939246,2.762943201611163
Dispute,2020-01-07,2.4460493827160494,2.937572016460906
No charge,2020-01-07,7.545736677115988,2.6286938349007336
Cash,2020-01-06,12.05242575751045,2.856567173828737
Credit card,2020-01-06,13.023893007727262,3.038711656922539
Dispute,2020-01-06,2.76486328125,2.6896484374999985
No charge,2020-01-06,8.285464320625612,2.6885141739980476
Cash,2020-01-05,12.269583047651697,3.0450655639355495
Credit card,2020-01-05,13.565870813896813,3.376869908793469
Dispute,2020-01-05,0.7648282828282829,3.036808080808079
No charge,2020-01-05,8.475718717683558,2.801096173733194
Cash,2020-01-04,11.87568525321198,2.81909863479359
Credit card,2020-01-04,12.490169714353987,2.9646062706664456
Dispute,2020-01-04,-0.04448979591836738,2.6454916512059374
No charge,2020-01-04,8.572582010582012,2.726645502645501
Cash,2020-01-03,12.26347589285714,2.8772835714285923
Credit card,2020-01-03,12.635360133597914,2.9498011359052483
Dispute,2020-01-03,2.462045889101338,2.703422562141492
No charge,2020-01-03,7.095388302972197,2.5532885906040277
Cash,2020-01-02,12.843541628478208,3.0848276936613335
Credit card,2020-01-02,13.705208153559939,3.312316151795847
Dispute,2020-01-02,0.23592233009708738,2.7976116504854356
No charge,2020-01-02,8.433906926406928,2.7868722943722957
Cash,2020-01-01,12.946216105317154,3.250959651222407
Credit card,2020-01-01,14.387186064106547,3.6007141407244228
Dispute,2020-01-01,1.5624661654135337,2.7527669172932328
No charge,2020-01-01,8.251008645533142,2.79417867435158
